en,es,ru,fr,en-GB,pt-BR,pt-PT
top movers report,informe de mayores variaciones,отчет о максимальных изменениях,rapport sur les plus fortes variations,top movers report,relatório de principais impulsionadores,relatório de maiores variações
Universal App Campaigns,campañas universales de aplicaciones,универсальные кампании для приложений,campagnes universelles de promotion d'applications,Universal App Campaigns,campanhas universais para apps,Campanhas de aplicações universais
over 18 disclaimer,renuncia de responsabilidad con respecto a la mayoría de edad,предупреждение о возрастных ограничениях,clause interdisant l'accès aux moins de 18 ans,over-18 disclaimer,isenção de responsabilidade para maiores de 18 anos,Isenção de responsabilidade para maiores de 18
max. CPM bid,puja de CPM máx.,макс. цена за тысячу показов,enchère au CPM max.,max. CPM bid,lance de CPM máx.,Lance de CPM máx.
automated call extension,extensión de llamada automática,автоматический номер телефона,extension d'appel automatique,automated call extension,extensão de chamada automática,extensão de chamada automática
Search Query Performance Report,Informe de rendimiento de la consulta de búsqueda,отчет об эффективности поисковых запросов,rapport sur les performances des requêtes de recherche,Search Query Performance Report,Relatório de desempenho da consulta da pesquisa,Relatório de desempenho de consultas de pesquisa
dynamic structured snippet extension,extensión de extractos de sitio dinámicos,динамическое структурированное описание,extension d'extrait de site dynamique,dynamic structured snippet extension,extensão de snippets estruturados dinâmicos,extensão de fragmentos estruturados dinâmicos
automated location extension,extensión de ubicación automática,автоматические адреса,extension de lieu automatique,automated location extension,extensão de local automática,extensão de localização automática
dynamic callout extension,extensión dinámica de texto destacado,динамическое уточнение,extension d'accroche dynamique,dynamic callout extension,extensão de frase de destaque dinâmica,extensão de textos destacados dinâmicos
outranking share,porcentaje de ranking superior,процент выигрышей,taux de surclassement,outranking share,parcela de superação,quota de classificação superior
Impact Calculator,calculadora de impacto,Калькулятор эффективности,simulateur d'impact,Impact Calculator,Calculadora de impacto,Calculadora de impacto
device platform targeting,orientación por plataforma de dispositivo,таргетинг на платформы устройств,ciblage par plates-formes,device platform targeting,segmentação por plataformas de dispositivos,segmentação por plataforma de dispositivos
Display Network placement,emplazamiento en la Red de Display,место размещения в контекстно-медийной сети,emplacement sur le Réseau Display,Display Network placement,canal da Rede de Display,posicionamento na Rede de Display
non-skippable,no saltable,без возможности пропуска,non désactivable,non-skippable,não pulável,não ignorável
ad extensions,extensiones de anuncio,расширения объявлений,extensions d'annonce,ad extensions,extensões de anúncio,extensões de anúncio
,,,,deep linking,link direto,links diretos
